report_board,report_datetime,report_title,row_count
Minnesota Board of Pharmacy,4/13/2026 12:00:22 PM,Facility List - PH,2171

facility_name,license_type,license_nbr,description,grant_date,expire_date,address_line1,address_line2,city,county,state,zip,e_mail
CarePartners Pharmacy LLC,PH,265927,Active,10/02/2019,06/30/2026,326 Peterson Road,,Libertyville,,IL,60048,Kamg@carepartnersrx.com
Carepoint Healthcare LLC (dba) Carepoint Pharmacy,PH,264005,Active,12/14/2012,06/30/2026,9 E. Commerce Drive,,Schaumburg,,IL,60173,CPIL@carepointrx.com
"Carlisle Medical, Inc.",PH,267151,Active,06/27/2025,06/30/2026,509 Blvd Park E,,Mobile,,AL,36609,pharmacy@carlislemedical.com
"Carlson Drug, Inc.",PH,262145,Active,02/22/2002,06/30/2026,147 NW 2nd Street,,Ortonville,Big Stone,MN,56278,carlsondrug@midconetwork.com
"Carris Health - Redwood, LLC",PH,266287,Active,02/18/2021,06/30/2026,101 Caring Way,,Redwood Falls,Redwood,MN,56283,carnie.allex@centracare.com
Carris Health LLC (dba) Rice Memorial Hospital Pharmacy,PH,265465,Active,01/01/2018,06/30/2026,301 Becker Ave SW,,Willmar,Kandiyohi,MN,56201,scott.forby@carrishealth.com
Cary Rx Incorporated,PH,266153,Active,08/12/2020,06/30/2026,1300 7th St NW,Suite 200,Washington,,DC,20001,an@caryrx.com
Cascade Specialty Pharmacy LLC,PH,267073,Active,01/09/2025,06/30/2026,19062 State Highway 305 NE,,Poulsbo,,WA,98370,CascadeLicensing@revelationpharma.com
Casey Drug-A Inc. (dba) Casey Drug,PH,266465,Active,04/01/2022,06/30/2026,121 W Lake St,,Chisholm,St Louis,MN,55719,caseydrug@mchsi.com
Castleton Pharmacy Corp (dba) Enexia Specialty,PH,265563,Active,12/04/2023,06/30/2026,252 Port Richmond Avenue,,Staten Island,,NY,10302,bnatezon@enexiaspecialty.com
"Catalent Pharma Solutions, LLC (dba) Catalent Pharmacy Services (PHL)",PH,265964,Active,11/13/2019,06/30/2026,3031 Red Lion Road,Room 4043,Philadelphia,,PA,19114,Michelle.Giovannucci@catalent.com
CCM Health,PH,200776,Active,06/26/1975,06/30/2026,824 North 11Th Street,,Montevideo,Chippewa,MN,56265,jamie.malstrom@ccmhealthmn.com
"CCN America, LP (dba) Coordinated Care Network Pharmacy",PH,264536,Active,08/13/2014,06/30/2026,"300 Penn Center Blvd, Suite 405",,Pittsburgh,,PA,15235,contracting@coordinatedcarenetwork.com
CD Pharmacy LLC (dba) Red Rock Pharmacy Ste 101,PH,266148,Active,08/06/2020,06/30/2026,"863 W 450 S, Ste 101",,Springville,,UT,84663,home@redrockrx.com
CDE LLC (dba) City Drug,PH,267063,Active,12/17/2024,06/30/2026,131 10th St,,Evanston,,WY,82930,jules.citydrug@gmail.com
Cedar Pharmacy Inc.,PH,266407,Active,10/21/2021,06/30/2026,417 Cedar Ave S,,Minneapolis,Hennepin,MN,55454,cedarpharmacy@yahoo.com
"Center City Pharmacy, LLC",PH,267254,Active,10/20/2025,06/30/2026,416 Clematis St,,West Palm Beach,,FL,33401,nicholl@centercityrx503a.com
"CenterWell Pharmacy, Inc. ",PH,266717,Active,03/28/2023,06/30/2026,11010 Florida Crown Drive,Suite 200,Orlando,,FL,32824,taddington@humana.com
"CenterWell Pharmacy, Inc.",PH,263235,Active,09/08/2008,06/30/2026,9843 Windisch Road,,West Chester,,OH,45069,pharder@humana.com
"CenterWell Pharmacy, Inc.",PH,262768,Active,04/25/2006,06/30/2026,4302 West Buckeye Road,,Phoenix,,AZ,85043,nhunnell@humana.com
"CentraCare Health - Benson, LLC",PH,266678,Active,11/29/2022,06/30/2026,1815 Wisconsin Ave,,Benson,Swift,MN,56215,spayne@centracare.com
CentraCare Health - Long Prairie,PH,261653,Active,01/01/1999,06/30/2026,50 Centracare Dr,,Long Prairie,Todd,MN,56347,hagenc@centracare.com
CentraCare Health - Paynesville LLC,PH,264213,Active,09/30/2013,06/30/2026,200 First St W,,Paynesville,Stearns,MN,56362,jennifer.klocker@centracare.com
CentraCare Health - Sauk Centre,PH,264009,Active,12/19/2012,06/30/2026,425 Elm St N,,Sauk Centre,Stearns,MN,56378,heinende@centracare.com
CentraCare Health System - Melrose (dba) CentraCare - Melrose Hospital,PH,201003,Active,07/10/1975,06/30/2026,525 Main St W,,Melrose,Stearns,MN,56352,jody.lavoi@centracare.com
"CentraCare Health System - NR, LLC (dba) Centracare - Monticello",PH,264079,Active,03/25/2013,06/30/2026,1013 Hart Blvd,,Monticello,Wright,MN,55362,kaitlyn.stenberg@centracare.com
CentraCare Pharmacy Services LLC (dba) CentraCare -Northway Pharmacy,PH,261081,Active,03/14/1994,06/30/2026,"1555 Northway Drive, Suite 150",,St Cloud,Stearns,MN,56303,karskyk@centracare.com
"Central Rx Services, LLC (dba) CVS/Specialty or CarelonRx Specialty",PH,265947,Active,10/11/2019,06/30/2026,1451 Center Crossing Rd,,Las Vegas,,NV,89144,permitinfo@cvshealth.com
"Charleston Area Medical Center, Inc (dba) CAMC Pharmacy #5",PH,267118,Active,04/18/2025,06/30/2026,400 Association Drive,,Charleston,,WV,25311,kortney.browning@vandaliahealth.org
"Chartwell Midwest Wisconsin, LLC (dba) UW Health Care Direct",PH,266042,Active,04/01/2020,06/30/2026,1345 Deming Way,Ste 100,Middleton,,WI,53562,caredirect@uwhealthcaredirect.com
"Chartwell Pennsylvania, LP",PH,266699,Active,02/09/2023,06/30/2026,1001 Oakdale Road,,Oakdale,,PA,15071,praneetha.kadari@carepathrxllc.com
"Chen Shwezin, Inc. (dba)Park Compounding Pharmacy",PH,266539,Active,03/25/2022,06/30/2026,4333 Park Terrace Dr,Suite 160,Westlake Village,,CA,91361,compoundrxjustin@yahoo.com
"Chewy Pharmacy DFW8, LLC.",PH,266962,Active,07/31/2024,06/30/2026,7243 Grady Niblo Road,Suite 100,Dallas,,TX,75236,pharmacylicensing@chewy.com
"Chewy Pharmacy MCO4, LLC",PH,267010,Active,09/13/2024,06/30/2026,3376 NW 35th Avenue Road,,Ocala,,FL,34475,pharmacylicensing@chewy.com
"Chewy Pharmacy, LLC",PH,266537,Active,03/23/2022,06/30/2026,360 Research Drive,,Pittston,,PA,18640,PharmacyLicensing@chewy.com
"Chewy Pharmacy, LLC",PH,265907,Active,07/19/2019,06/30/2026,"11403 Bluegrass Parkway, Suite 650",,Louisville,,KY,40299,SDF4@chewy.com
"Chewy Pharmacy, LLC",PH,265821,Active,04/25/2019,06/30/2026,255 South 143rd Ave Ste B,,Goodyear,,AZ,85338,pharmacylicensing@chewy.com
Children's Health Care,PH,262015,Active,07/09/2001,06/30/2026,2530 Chicago Ave S,,Minneapolis,Hennepin,MN,55404,wendy.zuniga@childrensmn.org
Children's Health Care (dba) Children's Hospitals & Clinics of Minnesota ,PH,261994,Active,02/06/2001,06/30/2026,345 North Smith Avenue,,St Paul,Ramsey,MN,55102,bill.bunzli@childrensmn.org
Children's Health Care (dba) Children's Hospitals And Clinics of Minnesota,PH,263375,Active,05/20/2009,06/30/2026,2530 Chicago Ave S,,Minneapolis,Hennepin,MN,55404,mary.laplant@childrensmn.org
Children`s Health Care (dba) Children's Minnesota,PH,200991,Active,07/10/1975,06/30/2026,2525 Chicago Ave S Ms 32-1667,,Minneapolis,Hennepin,MN,55404,megan.matack@childrensmn.org
"CHS Pharmacy Services, Inc. (dba) CarolinaCARE",PH,266506,Active,02/14/2022,06/30/2026,4400 Golf Acres Dr,"Bldg J, Suite C",Charlotte,,NC,28208,frank.mccree@atriumhealth.org
CI Pharmacy Services LTD (dba) GuidePoint Pharmacy #106,PH,263734,Active,07/26/2011,06/30/2026,20 W Main St,,Crosby,Crow Wing,MN,56441,mike.ci@guidepointpharmacy.com
Civic Center Pharmacy LLC,PH,267143,Active,06/17/2025,06/30/2026,7331 E Osborn Dr,Suite 208,Scottsdale,,AZ,85251,licensing@chemistryrx.com
"Clark's Specialty Pharmacy, LLC (dba) Big Country Dermatology Pharmacy",PH,267351,Active,02/20/2026,06/30/2026,17 Windmill Circle,Ste B,Abilene,,TX,79606,lighthouseai-tx@bigcountrypharmacy.com
"ClearMedix Pharmacy, LLC (dba) ClearMedix Pharmacy",PH,267116,Active,04/01/2025,06/30/2026,"510 E Wilson Bridge Rd., Suite D",,Worthington,,OH,43085,info@clearmedixpharmacy.com
"Clinical Solutions, LLC",PH,265512,Active,07/01/2018,06/30/2026,416 Mary Lindsay Polk Dr. Ste 515,,Franklin,,TN,37067,christi@cspmeds.com
"Clinical Specialties, Inc.",PH,266817,Active,09/26/2023,06/30/2026,6288 Hudson Crossing Pkwy,,Hudson,,OH,44236,oc-peandl@optioncare.com
"Clinical Specialty Infusions of Dallas, LLC (dba)  CSI Pharmacy",PH,266553,Active,04/19/2022,06/30/2026,459 E. New Boston Rd.,,Nash,,TX,75569,alisha.smith@csipharmacy.com
"Clinical Specialty Infusions of Dallas, LLC (dba) CSI Pharmacy - OH",PH,266718,Active,03/28/2023,06/30/2026,8868 Beckett Road,Suite B,West Chester,,OH,45069,John.payne@csipharmacy.com
"CoAssist Pharmacy, LLC",PH,266915,Active,05/22/2024,06/30/2026,2400 Sand Lake Road,Suite 200,Orlando,,FL,32809,CoAssist.pharmacy@assistrx.com
Coborn's Incorporated,PH,260962,Active,12/07/1992,06/30/2026,495 West North Street,,Owatonna,Steele,MN,55060,chris.leko@cobornsinc.com
Coborn's Incorporated (dba) Cash Wise Pharmacy #3015,PH,261581,Active,10/01/1998,06/30/2026,3300 Highway 10 East,,Moorhead,Clay,MN,56560,chris.leko@cobornsinc.com
Coborn's Incorporated (dba) Coborn's Central Support Pharmacy #9942,PH,265841,Active,05/16/2019,06/30/2026,"110 1st St S, Suite C",,Sauk Rapids,Benton,MN,56379,chris.leko@cobornsinc.com
Coborn's Incorporated (dba) Coborn's Pharmacy #2001,PH,261025,Active,11/09/1993,06/30/2026,"110 First Street South, Suite A",,Sauk Rapids,Benton,MN,56379,chris.leko@cobornsinc.com
Coborn's Incorporated (dba) Coborn's Pharmacy #2048,PH,266433,Active,11/01/2021,06/30/2026,630 Ryan's Way,,Buffalo,Wright,MN,55313,chris.leko@cobornsinc.com
"Coborn's, Incorporated (dba) Coborn's Specialty Pharmacy",PH,266794,Active,08/11/2023,06/30/2026,110 First Street South,Suite D,Sauk Rapids,Benton,MN,56379,specialtyrx@cobornsinc.com
Coborn’s Incorporated (dba) Cash Wise Pharmacy #3004,PH,260556,Active,07/01/1989,06/30/2026,1300 5th Street Se,,Willmar,Kandiyohi,MN,56201,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Cash Wise Pharmacy #3009,PH,260398,Active,04/15/1987,06/30/2026,113 South Waite Avenue,,Waite Park,Stearns,MN,56387,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Cash Wise Pharmacy #3011,PH,261002,Active,04/05/1993,06/30/2026,1020 Highway 15 South,,Hutchinson,McLeod,MN,55350,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy,PH,261254,Active,03/15/1995,06/30/2026,1105 2nd Avenue Ne,,Little Falls,Morrison,MN,56345,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2002,PH,261544,Active,05/11/1998,06/30/2026,161 Glen Street,,Foley,Benton,MN,56329,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2007,PH,261225,Active,04/10/1995,06/30/2026,707 1st Avenue North,,Sartell,Stearns,MN,56377,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2008,PH,262607,Active,06/13/2005,06/30/2026,705 County Road 75 NW,,Clearwater,Wright,MN,55320,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2016,PH,262402,Active,04/29/2004,06/30/2026,645 Lake Street South,,Long Prairie,Todd,MN,56347,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2017,PH,261446,Active,06/30/1997,06/30/2026,710 Frankie Lane,,Mora,Kanabec,MN,55051,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2019,PH,261545,Active,07/26/1998,06/30/2026,1100 7th Avenue South,,Princeton,Mille Lacs,MN,55371,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2022,PH,261579,Active,11/24/1998,06/30/2026,214 12th St S,,Sauk Centre,Stearns,MN,56378,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2023,PH,261580,Active,08/01/1998,06/30/2026,19425 Evans Street NW,,Elk River,Sherburne,MN,55330,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2024,PH,266059,Active,04/24/2020,06/30/2026,2150 Dakota Ave S,,Huron,,SD,57350,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2027,PH,262764,Active,06/05/2006,06/30/2026,2211 11Th Street East,,Glencoe,McLeod,MN,55336,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2028,PH,262087,Active,11/30/2001,06/30/2026,1400 Babcock Blvd. East,,Delano,Wright,MN,55328,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2029,PH,262195,Active,11/06/2002,06/30/2026,5698 Lacentre Avenue Northeast,,Albertville,Wright,MN,55301,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2031,PH,262331,Active,07/09/2003,06/30/2026,711 Rose Drive,,Big Lake,Sherburne,MN,55309,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2032,PH,262462,Active,07/30/2004,06/30/2026,1725 Pinecone Road South,,Sartell,Stearns,MN,56377,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2033,PH,262641,Active,09/01/2005,06/30/2026,7900 Sunwood Drive NW,,Ramsey,Anoka,MN,55303,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2034,PH,263895,Active,07/01/2012,06/30/2026,1106 8th St SW,,Pipestone,Pipestone,MN,56164,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2035,PH,260986,Active,01/25/1993,06/30/2026,900 Cooper Ave S,,St Cloud,Stearns,MN,56301,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2037,PH,263092,Active,09/26/2007,06/30/2026,225 33rd Street West,,Hastings,Dakota,MN,55033,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2038,PH,263169,Active,04/08/2008,06/30/2026,200 Alton Ave Se,,New Prague,Le Sueur,MN,56071,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2039,PH,263274,Active,12/10/2008,06/30/2026,1500 Elm Street E,,St Joseph,Stearns,MN,56374,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2042,PH,263605,Active,10/29/2010,06/30/2026,1010 E Enterprise Drive,,Belle Plaine,Scott,MN,56011,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2043,PH,263799,Active,12/13/2011,06/30/2026,105 E Main St,,Melrose,Stearns,MN,56352,chris.leko@cobornsinc.com
Coborn’s Incorporated (dba) Coborn's Pharmacy #2046,PH,265103,Active,08/17/2016,06/30/2026,209 6th Ave NE,,Isanti,Isanti,MN,55040,chris.leko@cobornsinc.com
Cokato Drug LLC (dba) Cokato Keaveny Drug,PH,265786,Active,03/11/2019,06/30/2026,205 Broadway Ave. S,,Cokato,Wright,MN,55321,license@nucara.com
College Pharmacy Inc.,PH,263133,Active,01/03/2008,06/30/2026,3505 Austin Bluffs Parkway,Suite 101,Colorado Springs,,CO,80918,jerry@collegepharmacy.com
CommonSpirit Health (dba) ePharmacist Direct,PH,264443,Active,07/01/2014,06/30/2026,2400 St. Francis Dr,Suite: Railways 768,Breckenridge,Wilkin,MN,56520,karen.finck@commonspirit.org
CommonSpirit Health (dba) ePharmacist Direct,PH,266508,Active,02/25/2022,06/30/2026,4265 45th St S,Suite 200,Fargo,,ND,58104,karen.finck@commonspirit.org
Community Memorial Hospital Association,PH,200999,Active,07/10/1975,06/30/2026,512 Skyline Boulevard,,Cloquet,Carlton,MN,55720,mhoeffling@cmhmn.org
"Community Pharmacy Services, LLC (dba) Consonus Pharmacy Ankeny",PH,266682,Active,11/30/2022,06/30/2026,2501 SE Tones Dr,Ste 200,Ankeny,,IA,50021,bldondlinger@consonushealth.com
"Community Pharmacy Services, LLC (dba) Consonus Pharmacy Gretna",PH,266807,Active,08/30/2023,06/30/2026,21689 Northstar Dr.,,Gretna,,NE,68028,wphoefer@consonushealth.com
Como Pharmacy,PH,264601,Active,11/25/2014,06/30/2026,"217 Como Ave, Suite 107",,St Paul,Ramsey,MN,55103,comopharmacy@gmail.com
"Compound Pharmaceutical Technologies, Inc",PH,263404,Active,07/30/2009,06/30/2026,1048 Stanton Road,Suite B,Daphne,,AL,36526,sarah@cptinc.org
"Compounding Pharmacies of Louisiana, Inc. (dba) Professional Arts Pharmacy",PH,265986,Active,12/27/2019,06/30/2026,128 Curran Ln,,Lafayette,,LA,70506,davidm@professionalarts.com
"Consana Health Services, LLC",PH,266862,Active,01/02/2024,06/30/2026,1010 E. Arapaho Road,Suite 102,Richardson,,TX,75081,info@consanahealth.com
"Consonus Pharmacy Services Minnesota, LLC (dba) Consonus Pharmacy Minnesota",PH,266790,Active,08/04/2023,06/30/2026,2915 Commers Dr,Ste 700,Eagan,Dakota,MN,55121,kmjanssen@consonushealth.com
Cook County Hospital District (dba) North Shore Health,PH,200296,Active,06/19/1975,06/30/2026,515 Fifth Avenue West,,Grand Marais,Cook,MN,55604,kimber.wraalstad@northshorehealthgm.org
Cook's Pharmacy of Shavertown Inc. (dba) Cooks Pharmacy,PH,266510,Active,02/28/2022,06/30/2026,1909 Memorial Hwy,,Shavertown,,PA,18708,cooksrx@aol.com
Coram Alternate Site Services Inc. (dba) Coram CVS/specialty infusion services ,PH,261268,Active,04/06/1995,06/30/2026,2345 Waters Drive,,Mendota Heights,Dakota,MN,55120,permitinfo@cvshealth.com
"Coram Alternate Site Services, Inc. (dba) Coram CVS/Specialty Infusion Services",PH,267090,Active,02/11/2025,06/30/2026,12310 World Trade Drive,Suite 100,San Diego,,CA,92128,permitinfo@cvshealth.com
"Coram Alternate Site Services, Inc. (dba) Coram CVS/Specialty Infusion Services",PH,267092,Active,02/20/2025,06/30/2026,6 Spring Mill Drive,,Malvern,,PA,19355,permitinfo@cvshealth.com
Corner Drug Store of Wahpeton Inc. (dba) Corner Drug Store,PH,260580,Active,06/19/1989,06/30/2026,619 Dakota Ave,,Wahpeton,,ND,58075,cornerdrug@midconetwork.com
"Corporate Pharmacy Services, Inc.",PH,263356,Active,03/16/2009,06/30/2026,319 Broad Street,,Gadsden,,AL,35901,pharmacist@corporatepharmacy.com
"Correct Rx Pharmacy Services, Inc.",PH,262346,Active,09/03/2003,06/30/2026,1352 Charwood Road,Suite C,Hanover,,MD,21076,eyankellow@correctrxpharmacy.com
Cosmo Care LLC,PH,267293,Active,12/02/2025,06/30/2026,2218 East Lake Street,Suite C,Minneapolis,Hennepin,MN,55407,iosman@cosmocosmetics.com
Costco Wholesale Corporation (dba) Costco Pharmacy,PH,265930,Active,10/02/2019,06/30/2026,"260 Logistics Ave., Suite C",,Jeffersonville,,IN,47130,d01347phm@costco.com
Costco Wholesale Corporation (dba) Costco Pharmacy,PH,265968,Active,11/13/2019,06/30/2026,"260 Logistics Ave., Suite A",,Jeffersonville,,IN,47130,d01349phm@costco.com
Costco Wholesale Corporation (dba) Costco Pharmacy,PH,266304,Active,03/24/2021,06/30/2026,Costco Wholesale Corporation,"260 Logistics Ave, Suite B",Jeffersonville,,IN,47130,d01348phm@costco.com
Costco Wholesale Corporation (dba) Costco Pharmacy #1032/562,PH,263396,Active,07/15/2009,06/30/2026,215 Deininger Circle,,Corona,,CA,92880,d562phm@costco.com
Costco Wholesale Corporation (dba) Costco Pharmacy #1422,PH,266436,Active,10/28/2021,06/30/2026,4611 W. Arrowhead Rd,,Duluth,St Louis,MN,55811,w01422phm@costco.com
Costco Wholesale Corporation (dba) Costco Pharmacy #1646,PH,266927,Active,06/12/2024,06/30/2026,2 Oakridge Dr,,Chaska,Carver,MN,55318,pharmacylicenses@costco.com
Costco Wholesale Corporation (dba) Costco Pharmacy #1710,PH,266992,Active,08/30/2024,06/30/2026,310 Integrity Drive,Suite 105,Madison,,WI,53717,pharmacylicenses@costco.com
Costco Wholesale Corporation (dba) Costco Pharmacy #1748,PH,267146,Active,06/23/2025,06/30/2026,"6801 Seaway Blvd., Suite A-2",,Everett,,WA,98203,pharmacylicenses@costco.com
Costco Wholesale Corporation (dba) Costco Pharmacy #372,PH,262036,Active,10/23/2001,06/30/2026,12547 Riverdale Boulevard,,Coon Rapids,Anoka,MN,55433,pharmacylicenses@costco.com
Costco Wholesale Corporation (dba) Costco Pharmacy #570,PH,263455,Active,12/10/2009,06/30/2026,"215 Deininger Circle, Suite A",,Corona,,CA,92880,d570phm@costco.com
Costco Wholesale Corporation (dba) Costco Pharmacy #648,PH,262900,Active,10/19/2006,06/30/2026,11330 Fountains Drive North,,Maple Grove,Hennepin,MN,55369,w648phm@costco.com
Costco Wholesale Corporation (dba) Costco Wholesale #1021,PH,263228,Active,08/19/2008,06/30/2026,1431 Beam Ave,,Maplewood,Ramsey,MN,55109,w01021phm@costco.com
Costco Wholesale Corporation (dba) Costco Wholesale #1087,PH,263612,Active,11/12/2010,06/30/2026,14050 Burnhaven Drive,,Burnsville,Dakota,MN,55337,w01087phm@costco.com
Costco Wholesale Corporation (dba) Costco Wholesale #1122,PH,263973,Active,10/03/2012,06/30/2026,13650 Elder Dr,,Baxter,Crow Wing,MN,56425,pharmacylicenses@costco.com
Costco Wholesale Corporation (dba) Costco Wholesale #1125,PH,263982,Active,10/26/2012,06/30/2026,2020 Commerce Dr NW,,Rochester,Olmsted,MN,55901,w01125phm@costco.com
Costco Wholesale Corporation (dba) Costco Wholesale #1272,PH,265433,Active,10/24/2017,06/30/2026,7070 Tamarack Rd,,Woodbury,Dakota,MN,55125,w01272phm@costco.com
Costco Wholesale Corporation (dba) Costco Wholesale #1344,PH,265868,Active,06/29/2019,06/30/2026,3636 2nd Street South,,St Cloud,Stearns,MN,56301,w01344phm@costco.com
Costco Wholesale Corporation (dba) Costco Wholesale #1363,PH,265950,Active,10/16/2019,06/30/2026,995 Blue Gentian Road,,Eagan,Dakota,MN,55121,w01363phm@costco.com
Costco Wholesale Corporation (dba) Costco Wholesale #377,PH,261961,Active,11/10/2000,06/30/2026,5801 West 16th Street,,St Louis Park,Hennepin,MN,55416,pharmacylicenses@costco.com
Costco Wholesale Corporation (dba) Costco Wholesale #783,PH,262521,Active,11/18/2004,06/30/2026,12011 Technology Drive,,Eden Prairie,Hennepin,MN,55344,w783phm@costco.com
Cottrill's Pharmacy Inc,PH,266981,Active,08/19/2024,06/30/2026,4919 Ellicott Rd,,Orchard Park,,NY,14127,patientcare@cottrillspharmacy.com
Country Manor Campus LLC (dba) Country Store and Pharmacy,PH,262882,Active,09/18/2006,06/30/2026,520 First Street NE,Suite A,Sartell,Stearns,MN,56377,jlemm@countrymanor.org
Country Store And Pharmacy,PH,261738,Active,08/16/1999,06/30/2026,520 First Street Ne,,Sartell,Stearns,MN,56377,jlemm@countrymanorcampus.org
Countryside Pharmacy LLC (dba) Shields Pharmacy,PH,266966,Active,08/05/2024,06/30/2026,"2196 Main St, Ste. A",,Dunedin,,FL,34698,shieldspharmacy1@gmail.com
CoverMyMeds Pharmacy LLC,PH,266916,Active,05/22/2024,06/30/2026,"4971 Southridge Blvd, Ste 115",,Memphis,,TN,38141,pharmacylicensing@mckesson.com
CoverMyMeds Pharmacy LLC,PH,266910,Active,05/07/2024,06/30/2026,845 Regent Blvd,Suite 100A & 100B,Irving,,TX,75063,pharmacylicensing@covermymeds.com
CoverMyMeds Pharmacy LLC,PH,266911,Active,05/07/2024,06/30/2026,5101 Jeff Commerce Dr,Ste A,Louisville,,KY,40219,pharmacylicensing@covermymeds.com
"Covetrus North America, LLC",PH,266504,Active,02/14/2022,06/30/2026,12 Mountfort St,Unit 2,Portland,,ME,04101,cgpm-rxlicensing@covetrus.com
"Covetrus North America, LLC",PH,266571,Active,05/13/2022,06/30/2026,14800 FAA Blvd,Ste 150,Fort Worth,,TX,76155,CGPM-RxLicensing@covetrus.com
"Covetrus North America, LLC",PH,266487,Active,01/20/2022,06/30/2026,5013 S 110th St,,Omaha,,NE,68137,CGPM-RxLicensing@covetrus.com
"Covetrus North America, LLC",PH,266496,Active,01/28/2022,06/30/2026,2401 W Grandview Rd,Ste 100,Phoenix,,AZ,85023,cgpm-rxlicensing@covetrus.com
CPRX Pharmacy LP (dba) CPRX Pharmacy,PH,267288,Active,11/26/2025,06/30/2026,3811 Bee Cave Rd,Ste 100,Austin,,TX,78746,dforsmann@cedarparkpharmacy.com
"CPS Telepharmacy, Inc. (dba) CPS Telepharmacy",PH,263758,Active,09/02/2011,06/30/2026,"1751 W Diehl Rd, Suite 110",,Naperville,,IL,60563,orxpharmlic@optum.com
Creative Compounds Inc. (dba) Harbor Compounding and Home Health Care Pharmacy,PH,267164,Active,07/16/2025,06/30/2026,3500 W Lake Center Dr,Suite B,Santa Ana,,CA,92704,info@harborcompounding.com
Credena Health LLC,PH,266739,Active,06/12/2023,06/30/2026,7376 SW Durham Road,,Portland,,OR,97224,homeservices3@providence.org
Crescent Healthcare Inc.,PH,262481,Active,07/20/2004,06/30/2026,"11980 Telegraph Rd, Suite 102",,Santa Fe Springs,,CA,90670,oc-peandl@optioncare.com
"Crimson Care Pharmacy Group II, LLC (dba) Cody Drug",PH,267283,Active,11/19/2025,06/30/2026,1505 S Broadway Street,,Sulphur Springs,,TX,75482,codydrugrx@gmail.com
"Crosswind Pharmaceuticals, LLC (dba) Northwind Pharmacy",PH,266281,Active,02/11/2021,06/30/2026,"Crosswind Pharmaceuticals, Llc",4838 Fletcher Ave Suite 2000,Indianapolis,,IN,46203,compliance@nwpharma.com
"CRx Specialty Solution Pharmacy, LLC (dba) CRx Specialty Solution Pharmacy",PH,266217,Active,11/02/2020,06/30/2026,407 Bienville St,,Natchitoches,,LA,71457,robbie.chambliss@crxspecialty.com
"CSR/AVP Holdings, LLC (dba) PETPAWSRX",PH,266283,Active,02/11/2021,06/30/2026,"11701 Centennial Rd, Suites 2 And 3",,Lavista,,NE,68128,sremington@csrcoinc.com
"CTCA RX, LLC (dba) City of Hope Pharmacy",PH,265622,Active,07/23/2018,06/30/2026,"Ctca Rx, Llc",610 Celebrate Life Parkway,Newnan,,GA,30265,licensing@maxor.com
"Curant Health Florida, LLC",PH,264239,Active,10/21/2013,06/30/2026,11001 Roosevelt Blvd N,Suite 1400,St. Petersburg,,FL,33716,gcerio@curanthealth.com
Curant Health Georgia LLC,PH,263810,Active,12/20/2011,06/30/2026,200 Technology Ct SE,Bldg. 200 Suite B,Smyrna,,GA,30082,dcarver@curanthealth.com
"Curative Pharmacy, LLC",PH,266858,Active,12/12/2023,06/30/2026,2800 Longhorn Blvd,Suite 102,Austin,,TX,78758-7624,pharmacy@curative.com
"Cure Stat Rx Home Infusion and Specialty Pharmacy, Inc.",PH,266835,Active,10/17/2023,06/30/2026,6725 Mesa Ridge Rd.,Suite 202 & 230,San Diego,,CA,92121,pharmacy@curestatrx.com
"Curexa - East, LLC (dba) Curexa",PH,266455,Active,11/17/2021,06/30/2026,3007 Ocean Heights Ave,,Egg Harbor Township,,NJ,08234,compliance@curexa.com
